ID	G85432	G85433	G85434	G85435	G85436	G85437	G85438	G85439	G85440	G85441	G85442	G85443	G85444	G85445	G85446	G85447	G85448	G85449	G85450	G85451	G85452	G85453	G85454	G85455	G85456	G85457	G85458	G85459	G85460	G85461	G85462	G85463	G85464	G85465	G85466	G85467	G85468	G85469	G85470	G85471	G85472	G85473	G85474	G85475	G85476	G85477	G85478	G85479	G85480	G85481	G85482	G85483	G85484	G85485	G85486	G85487	G85488	G85489	G90607
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05197
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05197
k__Bacteria	99.99132	97.12959	100.0	99.95308	99.90769	100.0	99.58975	100.0	100.0	100.0	100.0	98.46528	99.92044	100.0	100.0	99.99787	99.99691	100.0	99.97484	99.90053	100.0	100.0	100.0	100.0	95.35923	99.63799	98.93402	98.18176	100.0	100.0	100.0	99.99771	100.0	100.0	99.99292	99.91125	99.99853	100.0	99.99458	100.0	95.71244	100.0	100.0	100.0	100.0	94.22113	99.91618	99.59254	100.0	99.96329	99.94659	100.0	80.80679	99.28831	99.77855	99.2444	100.0	100.0	98.7357
k__Bacteria|p__Actinobacteria	0.08228	0.04475	0.85835	0.25435	0.08366	1.19314	0.32344	0.0	0.7352	0.08282	0.14713	0.93057	0.14399	0.02075	1.18225	0.09442	0.65521	0.0735	1.62428	4.54021	0.99152	1.29621	0.80646	0.4986	0.15843	0.24893	4.15665	1.58986	1.414	0.05603	0.20429	0.26126	0.26547	0.40058	0.08233	0.09408	0.7631	0.9847	0.88722	0.06702	0.3533	0.09885	1.84668	0.59942	0.03592	0.0	0.14893	0.10836	0.05327	0.0261	0.14347	2.58386	1.55499	0.15919	0.70884	3.03627	0.07464	3.86901	0.56203
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.08228	0.04475	0.85835	0.25435	0.08366	1.19314	0.32344	0.0	0.7352	0.08282	0.14713	0.93057	0.14399	0.02075	1.18225	0.09442	0.65521	0.0735	1.62428	4.54021	0.99152	1.29621	0.80646	0.4986	0.15843	0.24893	4.15665	1.58986	1.414	0.05603	0.20429	0.26126	0.26547	0.40058	0.08233	0.09408	0.7631	0.9847	0.88722	0.06702	0.3533	0.09885	1.84668	0.59942	0.03592	0.0	0.14893	0.10836	0.05327	0.0261	0.14347	2.58386	1.55499	0.15919	0.70884	3.03627	0.07464	3.86901	0.56203
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.04475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01686	0.0	0.01873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01319	0.02151	0.03915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.02115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00631	0.0	0.0	0.41454	0.0	0.0	0.11044	0.00378	0.0	0.00934
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
